Address,Categories,City,Name,Postal Code,Province
11671 Se Federal Hwy,Fast Food Restaurant,Hobe Sound,McDonald's,33455,FL
8792 Navarre Pkwy,Burger Joint and Fast Food Restaurant Gulf Breeze,Navarre,Culver's,32566,FL
825 E 49th St,Fast food restaurants,Hialeah,Burger King,33013,FL
2750 W 68th St Ste 104,Fast Food,Hialeah,Pizza Hut,33016,FL
36172 Hwy 27,Fast Food,Haines City,Dairy Queen,33844,FL
52 Tuscan Way Ste 208,Fast Food Restaurants,Saint Augustine,Pizza Hut,32092,FL
1232 Providence Blvd,Fast Food Restaurant,Deltona,KFC,32725,FL
2370 US Highway 331 S,Fast food restaurants,DeFuniak Springs,McDonald's,32435,FL
1508 US Highway 331 S,Fast Food Restaurant,DeFuniak Springs,SONIC Drive-In,32435,FL
2434 US Highway 331 S,Fast Food Restaurants,DeFuniak Springs,Whataburger,32435,FL
9975 Corkscrew Rd,"Fast Food Restaurant, Sandwich Place, and American Restaurant",Estero,Arby's,33928,FL
519 Brandon Town Center Mall,Fast Food Restaurants,Brandon,Chick-Fil-A,33511,FL
865 S Main St,Fast Food Restaurant,Belle Glade,Taco Bell,33430,FL
339 US Highway 27 S,Fast Food Restaurant,Avon Park,McDonald's,33825,FL
1498 US Highway 17 N,Fast Food Restaurants,Wauchula,Pizza Hut,33873,FL
1608 W Orange Blossom Trl,Fast Food,Apopka,Firehouse Subs,32712,FL
460 Airways Ave,Fast Food Restaurant,Savannah,Burger King,31408,GA
1510 N Summit St,Fast Food Restaurant,Arkansas City,SONIC Drive-In,67005,KS
2613 Central Ave,Fast Food Restaurants,Dodge City,McDonald's,67801,KS
2501 Se Delaware Ave,Fast Food Restaurants,Ankeny,Burger King,50021,IA
2501 Se Delaware Ave,Fast Food Restaurant,Ankeny,Burger King,50021,IA
134 W Kamehameha Ave,Fast Food Restaurants,Kahului,Cupie's Drive-In,96732,HI
230 S Duff Ave,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Ames,Chick-Fil-A,50010,IA
2817 E 13th St,Fast Food Restaurants,Ames,Burger King,50010,IA
1020 E 1st St,Fast Food Restaurant,Ankeny,Burger King,50021,IA
2450 S Vista Ave,Fast Food Restaurants,Boise,Pizza Hut,83705,ID
1807 N Church St,Fast food restaurants,Burlington,Burger King,27217,NC
2535 18th St,Fast Food Restaurants,Bettendorf,Dairy Queen,52722,IA
9320 Steele Creek Rd,Fast Food Restaurant,Charlotte,McDonald's,28273,NC
9640 Mariposa Rd,Fast Food Restaurant,Hesperia,Burger King,92344,CA
17021 Main St,Fast food restaurants,Hesperia,Burger King,92345,CA
14485 Inglewood Ave,Fast Food Restaurant,Hawthorne,Del Taco,90250,CA
18070 Chatsworth St,Fast Food Restaurant,Granada Hills,Del Taco,91344,CA
1200 Forrest Ave,Fast Food Restaurant,Dover,Arby's,19904,DE
1200 Forrest Ave,Fast Food Restaurants,Dover,Arby's,19904,DE
300 Mccarter Rd,Fast Food Restaurants,Fountain Inn,McDonald's,29644,SC
2040 Cumberland St,Fast Food Restaurant,Lebanon,Burger King,17042,PA
1451 Quentin Rd,Fast Food Restaurants,Lebanon,Chipotle Mexican Grill,17042,PA
609 Naamans Rd,Fast Food Restaurants,Claymont,Taco Bell,19703,DE
5800 W Chandler Blvd,Fast Food,Chandler,Pizza Hut,85226,AZ
1205 Commons Cir,Fast Food Restaurants,Plover,McDonald's,54467,WI
